uri,notation,label_es,label_en,label_pt
http://www.vocabularyserver.com/tbci/?tema=6,,ns1:6,ns1:6,acervos (biblioteca)
http://www.vocabularyserver.com/tbci/?tema=7,,ns1:7,"library collections (UF book collections, holdings (library)",ns1:7
http://www.vocabularyserver.com/tbci/?tema=11,,ns1:11,ns1:11,acervos pessoais
http://www.vocabularyserver.com/tbci/?tema=12,,ns1:12,personal collections,ns1:12
http://www.vocabularyserver.com/tbci/?tema=14,,ns1:14,ns1:14,acessibilidade
http://www.vocabularyserver.com/tbci/?tema=16,,ns1:16,ns1:16,acesso
http://www.vocabularyserver.com/tbci/?tema=21,,acceso,ns1:21,ns1:21
http://www.vocabularyserver.com/tbci/?tema=20,,ns1:20,access to resources,ns1:20
http://www.vocabularyserver.com/tbci/?tema=23,,ns1:23,ns1:23,acesso à biblioteca
http://www.vocabularyserver.com/tbci/?tema=28,,ns1:28,  library access,ns1:28
http://www.vocabularyserver.com/tbci/?tema=24,,ns1:24,ns1:24,acesso à informação
http://www.vocabularyserver.com/tbci/?tema=32,,  acceso a la información (UP accesibilidad de la información),ns1:32,ns1:32
http://www.vocabularyserver.com/tbci/?tema=31,,ns1:31,  information access (UF availability of information),ns1:31
http://www.vocabularyserver.com/tbci/?tema=25,,ns1:25,ns1:25,acesso ao documento
http://www.vocabularyserver.com/tbci/?tema=38,,  acceso al documento (UP acesso a las publicaciones),ns1:38,ns1:38
http://www.vocabularyserver.com/tbci/?tema=37,,ns1:37,  document access,ns1:37
http://www.vocabularyserver.com/tbci/?tema=26,,ns1:26,ns1:26,acesso livre
http://www.vocabularyserver.com/tbci/?tema=44,,  acceso libre al documento,ns1:44,ns1:44
http://www.vocabularyserver.com/tbci/?tema=53,,ns1:53,ns1:53,acesso remoto
http://www.vocabularyserver.com/tbci/?tema=55,, acceso remoto,ns1:55,ns1:55
http://www.vocabularyserver.com/tbci/?tema=54,,ns1:54, remote access (UF offsite access),ns1:54
http://www.vocabularyserver.com/tbci/?tema=59,,ns1:59,ns1:59,acesso sem fio
http://www.vocabularyserver.com/tbci/?tema=60,,ns1:60, wireless access,ns1:60
http://www.vocabularyserver.com/tbci/?tema=27,,ns1:27,ns1:27,acesso universal
http://www.vocabularyserver.com/tbci/?tema=61,,ns1:61, universal access,ns1:61
http://www.vocabularyserver.com/tbci/?tema=64,,ns1:64,ns1:64,acoplamento bibliográfico
http://www.vocabularyserver.com/tbci/?tema=65,,ns1:65, bibliographic coupling (UF citation coupling),ns1:65
http://www.vocabularyserver.com/tbci/?tema=41,,ns1:41,ns1:41,acordos de utilização
http://www.vocabularyserver.com/tbci/?tema=71,,ns1:71,"  usage agreements (UF browse-wrap, click-wrap, terms of use)",ns1:71
http://www.vocabularyserver.com/tbci/?tema=76,,ns1:76,ns1:76,administração (área do conhecimento)
http://www.vocabularyserver.com/tbci/?tema=80,,ns1:80,ns1:80,agências de fomento
http://www.vocabularyserver.com/tbci/?tema=86,,ns1:86,ns1:86,agências de notícias
http://www.vocabularyserver.com/tbci/?tema=87,,ns1:87,newswire services,ns1:87
http://www.vocabularyserver.com/tbci/?tema=90,,ns1:90,ns1:90,agências governamentais
http://www.vocabularyserver.com/tbci/?tema=91,,ns1:91,"government agencies (UF public agencies, state agencies)",ns1:91
http://www.vocabularyserver.com/tbci/?tema=98,,ns1:98,ns1:98,agentes inteligentes
http://www.vocabularyserver.com/tbci/?tema=99,,ns1:99," intelligent agents (UF information retrieval agents, search agents)",ns1:99
http://www.vocabularyserver.com/tbci/?tema=104,,ns1:104,ns1:104,agronomia
http://www.vocabularyserver.com/tbci/?tema=108,,ns1:108,ns1:108,alfabetação letra por letra
http://www.vocabularyserver.com/tbci/?tema=109,,ns1:109,letter by letter arrangement,ns1:109
http://www.vocabularyserver.com/tbci/?tema=111,,ns1:111,ns1:111,alfabetação palavra por palavra
http://www.vocabularyserver.com/tbci/?tema=112,,ns1:112,word by word arrangement,ns1:112
http://www.vocabularyserver.com/tbci/?tema=119,,ns1:119,ns1:119,algoritmos
http://www.vocabularyserver.com/tbci/?tema=120,,ns1:120,algorithms,ns1:120
http://www.vocabularyserver.com/tbci/?tema=121,,algoritmos,ns1:121,ns1:121
http://www.vocabularyserver.com/tbci/?tema=125,,ns1:125,ns1:125,almanaques
http://www.vocabularyserver.com/tbci/?tema=126,,ns1:126,  almanacs,ns1:126
http://www.vocabularyserver.com/tbci/?tema=127,,  almanaques,ns1:127,ns1:127
http://www.vocabularyserver.com/tbci/?tema=130,,ns1:130,ns1:130,ambiente organizacional
http://www.vocabularyserver.com/tbci/?tema=132,,  ambiente organizacional,ns1:132,ns1:132
http://www.vocabularyserver.com/tbci/?tema=131,,ns1:131,  organizational environment,ns1:131
http://www.vocabularyserver.com/tbci/?tema=136,,ns1:136,ns1:136,ambiguidade
http://www.vocabularyserver.com/tbci/?tema=137,,ns1:137,  ambiguity,ns1:137
http://www.vocabularyserver.com/tbci/?tema=142,,ns1:142,ns1:142,anais de congressos
http://www.vocabularyserver.com/tbci/?tema=144,,  actas de conferencias,ns1:144,ns1:144
http://www.vocabularyserver.com/tbci/?tema=143,,ns1:143,  conference proceedings (UF proceedings),ns1:143
http://www.vocabularyserver.com/tbci/?tema=149,,ns1:149,ns1:149,análise comparativa
http://www.vocabularyserver.com/tbci/?tema=150,,ns1:150,  comparison,ns1:150
http://www.vocabularyserver.com/tbci/?tema=154,,ns1:154,ns1:154,análise de agrupamentos
http://www.vocabularyserver.com/tbci/?tema=155,,ns1:155, cluster analysis,ns1:155
http://www.vocabularyserver.com/tbci/?tema=67,,ns1:67,ns1:67,análise de citação
http://www.vocabularyserver.com/tbci/?tema=160,,análisis de citas,ns1:160,ns1:160
http://www.vocabularyserver.com/tbci/?tema=159,,ns1:159,citation analysis (UF citation frequency),ns1:159
http://www.vocabularyserver.com/tbci/?tema=157,,ns1:157,ns1:157,análise de coocorrência
http://www.vocabularyserver.com/tbci/?tema=170,,ns1:170,co-occurrence analysis,ns1:170
http://www.vocabularyserver.com/tbci/?tema=152,,ns1:152,ns1:152,análise de custos
http://www.vocabularyserver.com/tbci/?tema=174,,"análisis de costo-beneficio, estudios de costos",ns1:174,ns1:174
http://www.vocabularyserver.com/tbci/?tema=173,,ns1:173,cost analysis,ns1:173
http://www.vocabularyserver.com/tbci/?tema=153,,ns1:153,ns1:153,análise de dados
http://www.vocabularyserver.com/tbci/?tema=179,,ns1:179,data analysis,ns1:179
http://www.vocabularyserver.com/tbci/?tema=181,,ns1:181,ns1:181,análise de domínio
http://www.vocabularyserver.com/tbci/?tema=182,,ns1:182,  domain analysis,ns1:182
http://www.vocabularyserver.com/tbci/?tema=188,,ns1:188,ns1:188,análise de macroambiente
http://www.vocabularyserver.com/tbci/?tema=190,,ns1:190,ns1:190,análise de tarefas
http://www.vocabularyserver.com/tbci/?tema=191,,ns1:191,task analysis,ns1:191
http://www.vocabularyserver.com/tbci/?tema=192,,ns1:192,ns1:192,análise do fluxo de trabalho
http://www.vocabularyserver.com/tbci/?tema=193,,ns1:193,work flow analysis,ns1:193
http://www.vocabularyserver.com/tbci/?tema=196,,ns1:196,ns1:196,análise facetada
http://www.vocabularyserver.com/tbci/?tema=198,,análisis por facetas,ns1:198,ns1:198
http://www.vocabularyserver.com/tbci/?tema=197,,ns1:197,facet analysis,ns1:197
http://www.vocabularyserver.com/tbci/?tema=203,,ns1:203,ns1:203,análise linguística
http://www.vocabularyserver.com/tbci/?tema=204,,ns1:204,  linguistic analysis,ns1:204
http://www.vocabularyserver.com/tbci/?tema=208,,ns1:208,ns1:208,análise qualitativa
http://www.vocabularyserver.com/tbci/?tema=209,,ns1:209,qualitative analysis,ns1:209
http://www.vocabularyserver.com/tbci/?tema=210,,ns1:210,ns1:210,análise quantitativa
http://www.vocabularyserver.com/tbci/?tema=211,,ns1:211,  quantitative analysis,ns1:211
